# iterator, reward_latency, reward_throughput, timestamp 
1,112.33574151992798,958.0838323353476,1656373217.7510738
2,26.938835779825848,958.0838323353204,1656373221.22605
3,71.53042157491048,957.1286141575407,1656373224.6862292
4,128.67188453674316,957.1286141575407,1656373230.1498637
5,75.72674751281738,957.7654262760603,1656373233.5912898
6,94.41244602203369,958.0838323353204,1656373237.068848
7,73.2961893081665,958.0838323353204,1656373242.5305204
8,94.37636534372966,958.0838323353204,1656373245.990708
9,127.33769416809082,958.0838323353204,1656373249.4319563
10,102.02515125274658,957.1286141575407,1656373256.8981524
11,27.332544326782227,958.0838323353204,1656373260.3748596
12,94.23553943634033,958.0838323353204,1656373263.8219712
13,74.4536320368449,958.0838323353204,1656373268.2795236
14,125.23245811462402,958.0838323353204,1656373271.758739
