# iterator, reward, timestamp 
1,74.27517573038737,1659126213.8475888
2,100.65245628356934,1659126216.9519508
3,26.163220405578613,1659126220.0543454
4,89.73650137583415,1659126226.1426463
5,95.63986460367839,1659126232.1513782
6,127.47204303741455,1659126236.25748
7,129.01008129119873,1659126239.278826
8,94.2614475886027,1659126243.383005
9,73.7458864847819,1659126246.4859343
10,93.05926163991292,1659126249.5720084
11,57.69217014312744,1659126252.676013
12,94.12153561909993,1659126255.7804434
13,75.28011004130046,1659126258.9023411
14,105.13031482696533,1659126262.0072181
15,25.814930597941082,1659126265.090775
16,27.536471684773762,1659126268.0970817
