# iterator, reward_latency, reward_throughput, timestamp 
1,72.34597206115723,957.1286141534724,1655398673.7813492
2,73.80843162536621,958.0838323326207,1655398677.2416916
3,71.53634230295818,958.0838323279827,1655398683.7049081
4,55.50177892049154,958.0838323372587,1655398687.1652055
5,70.1231559117635,957.1286141604156,1655398692.6259913
6,93.3073361714681,958.7219168054845,1655398697.0874884
7,91.16160869598389,959.0409590512203,1655398700.545444
8,126.8165111541748,958.0838323279827,1655398704.0023987
9,125.53572654724121,957.1286141465293,1655398709.007993
10,102.36001014709473,957.1286141604156,1655398712.4683197
11,92.55917867024739,957.4470202070138,1655398716.929918
12,75.23814837137859,958.0838323418969,1655398720.3896017
13,123.73661994934082,958.0838323418969,1655398725.8487659
14,75.0201145807902,958.0838323372587,1655398729.3081026
15,89.93164698282878,1182.2754490951845,1655398733.765471
16,72.03376293182373,956.4930705894752,1655398737.223372
17,94.13313865661621,1180.7770301916732,1655398742.6864064
18,94.82733408610027,1181.6367265378453,1655398747.6899858
19,69.03115908304851,957.128614155787,1655398754.1535416
20,72.6315180460612,958.0838323279827,1655398758.1581798
21,96.7189073562622,1181.6367265378453,1655398763.6178932
22,74.2194652557373,958.0838323279827,1655398767.0791855
23,41.184703509012856,958.0838323279827,1655398770.536999
24,98.9234447479248,958.0838323418969,1655398773.9980466
25,99.08223152160645,958.0838323279827,1655398777.9983501
26,89.79956309000652,1180.4586241311792,1655398782.459972
27,92.91736284891765,958.4028745644146,1655398787.465045
28,76.06395085652669,1071.5684315667752,1655398790.9222682
29,92.02980995178223,959.0409590372784,1655398794.3817277
30,100.05247592926025,958.0838323279827,1655398797.839262
31,74.7207800547282,958.0838323279827,1655398801.297719
32,94.70609823862712,958.0838323418969,1655398804.7601025
33,94.39575672149658,958.0838323326207,1655398812.2205408
34,98.42729568481445,958.0838323279827,1655398815.681258
35,25.247057278951008,958.0838323418969,1655398819.139924
36,73.78625869750977,957.1286141604156,1655398828.6035717
37,125.98788738250732,958.0838323279827,1655398833.0621338
38,94.02918815612793,958.0838323372587,1655398837.5238383
39,72.28000958760579,959.0409590372784,1655398840.9822998
40,76.91554228464763,957.128614155787,1655398845.9877343
41,90.55546919504802,1180.4586241311792,1655398849.4474704
42,72.47642676035564,959.0409590372784,1655398853.9070837
43,72.30993111928304,1069.654174337402,1655398858.3688762
44,97.99385070800781,957.1286141465293,1655398861.82912
45,26.00264549255371,958.0838323372587,1655398865.2856128
46,95.05796432495117,959.0409590372784,1655398868.7427218
47,95.60934702555339,958.0838323418969,1655398872.205563
48,93.6876932779948,959.0409590372784,1655398875.6669483
49,125.78630447387695,957.1286141465293,1655398880.1260176
50,56.402007738749184,958.0838323279827,1655398883.5838237
51,45.529445012410484,958.402874578338,1655398886.5880444
52,94.30380662282307,959.0409590419257,1655398890.0470104
53,55.64224720001221,957.1286141604156,1655398893.5062919
54,42.50001907348633,959.0409590372784,1655398896.5088167
55,32.82968203226725,959.0409590419257,1655398899.5120187
56,24.847547213236492,958.0838323372587,1655398902.5159543
57,27.186870574951172,958.4028745736906,1655398905.5190024
58,25.317907333374023,957.7660624527033,1655398908.524024
59,23.126085599263508,958.0838323326207,1655398911.5242512
60,25.080124537150066,958.0838323279827,1655398914.5285318
61,25.763869285583496,958.0838323418969,1655398917.5318246
62,26.338696479797363,957.1286141465293,1655398920.5364902
63,24.172107378641766,957.128614155787,1655398923.5398676
64,22.51410484313965,957.1286141604156,1655398926.5448365
65,25.91554323832194,958.4028745736906,1655398929.547576
66,26.37032667795817,958.0838323279827,1655398932.5489805
67,24.253368377685547,957.4470202162714,1655398935.5517862
68,24.790326754252117,958.0838323279827,1655398938.553227
69,24.916410446166992,959.0409590372784,1655398941.5606678
70,24.547775586446125,957.7654262721271,1655398944.5614774
71,25.269150733947754,957.1286141604156,1655398947.5648086
72,26.86623732248942,957.1286141604156,1655398950.5668375
73,25.03041426340739,957.1286141604156,1655398953.5703716
74,26.146928469340008,1069.860279432914,1655398956.5749445
75,26.602943738301594,957.1286141465293,1655398959.5779414
76,25.8179505666097,958.0838323279827,1655398962.5810552
77,26.960134506225586,957.4470202162714,1655398965.5836203
78,27.15897560119629,1069.8602794484514,1655398968.5884645
79,25.520126024882,958.0838323418969,1655398971.5899959
80,26.41451358795166,958.0838323279827,1655398974.5942543
81,26.021043459574383,958.0838323279827,1655398977.5982513
82,26.352643966674805,958.0838323279827,1655398980.6008532
83,28.769493103027344,959.0409590372784,1655398983.6051502
84,25.775551795959473,958.0838323326207,1655398986.606313
