# iterator, reward_latency, reward_throughput, timestamp 
1,91.83655182520549,958.4028745705771,1656373892.2882917
2,99.82609748840332,958.0838323352658,1656373895.7508643
3,93.4980312983195,957.7654262760061,1656373899.2162302
4,125.63943862915039,1293.413173652609,1656373902.6919317
5,93.96870930989583,957.1286141575952,1656373906.1318562
6,100.60763359069824,957.1286141575952,1656373909.5907552
7,95.78176339467366,958.0838323353746,1656373915.049188
8,94.04953320821126,958.0838323352658,1656373920.526238
9,89.71579869588216,1181.6367265469619,1656373923.968814
10,125.95975399017334,957.1286141574866,1656373927.4306512
11,102.88405418395996,958.0838323353746,1656373931.887626
12,24.939974149068195,1069.8602794411684,1656373935.3437407
13,125.71322917938232,958.0838323352658,1656373939.8215442
