# iterator, reward, timestamp 
70,-23.93636215549137,1655216052.1742706
71,-25.462353746946494,1655216055.179043
72,-24.42540715991956,1655216058.1840768
73,-19.890235717846444,1655216061.1880813
74,-25.98935725673142,1655216064.1909146
75,-24.797508634737927,1655216067.1919007
76,-25.185291345545043,1655216070.1945512
77,-24.98340490459454,1655216073.200056
78,-24.56768761047832,1655216076.2043798
79,-25.902406356630124,1655216079.209905
80,-22.81225367652812,1655216082.2132416
81,-26.519287307774682,1655216085.2184339
82,-28.11733674660505,1655216088.2219622
83,-27.558735007702975,1655216091.2257311
84,-24.308933636399246,1655216094.230026
85,-24.187582504296426,1655216097.2333486
86,-28.652963768480433,1655216100.238059
87,-26.388318776597554,1655216103.242448
88,-25.448858074834238,1655216106.2458806
89,-25.41035477795774,1655216109.25007
90,-24.730204497056725,1655216112.2525563
91,-23.829940763005823,1655216115.257755
92,-27.167739349993028,1655216118.2608445
93,-25.916892241565204,1655216121.2635317
94,-27.379899388745713,1655216124.2666059
95,-26.53211077983625,1655216127.27071
96,-26.18568057736408,1655216130.2750194
97,-22.846487754893456,1655216133.2782397
98,-26.27293556559496,1655216136.2822871
99,-24.854618679487654,1655216139.286011
100,-24.851528074189048,1655216142.2899325
101,-25.126938669863097,1655216145.2934992
102,-25.75756139576403,1655216148.2956438
103,-27.25100638189286,1655216151.2982378
104,-24.185007995606004,1655216154.3024683
105,-27.325692964401153,1655216157.305099
106,-25.79591508892587,1655216160.3052728
107,-25.779023705831193,1655216163.3071895
108,-25.733169075776576,1655216166.3095353
109,-35.8801936387062,1655216169.3107018
110,-24.630699114521533,1655216172.3169127
111,-26.14607059769887,1655216175.3212361
112,-25.667654936377836,1655216178.325756
113,-27.004817188266724,1655216181.3292472
114,-27.98337377227216,1655216184.3326488
115,-27.53744531758519,1655216187.3364358
116,-25.437939593455013,1655216190.3359742
117,-25.512805628821347,1655216193.337382
118,-23.70093032488636,1655216196.3431299
119,-27.818514096154153,1655216199.346824
120,-27.00148931696318,1655216202.3509068
121,-29.09233123755366,1655216205.3546581
122,-27.151487586472246,1655216208.3583183
123,-25.3971008911879,1655216211.362527
124,-26.307210167313137,1655216214.3655174
125,-24.775442942054006,1655216217.3694851
126,-26.01749520312204,1655216220.369492
127,-25.23764885182003,1655216223.3725073
128,-25.53946209972151,1655216226.3747342
129,-25.642742601780466,1655216229.375595
130,-25.860267650893093,1655216232.3769612
131,-25.644210001329625,1655216235.3825843
132,-26.42085296744253,1655216238.3898814
133,-26.551577470470857,1655216241.3959317
134,-22.118657613227064,1655216244.3987217
135,-27.476752051760194,1655216247.404208
136,-25.690626853117273,1655216250.4049618
137,-26.65515252852016,1655216253.4090452
138,-17.866364352220028,1655216256.412106
139,-25.01778551676475,1655216259.411808
140,-25.46003305334179,1655216262.41864
141,-26.716067603647765,1655216265.4221337
142,-24.809034610540944,1655216268.4267116
143,-25.93816748202724,1655216271.4309554
144,-19.978363017374964,1655216274.4312146
145,-25.94704850796528,1655216277.433503
146,-25.834682921689485,1655216280.437514
147,-26.158152934209504,1655216283.4426982
148,-25.433547523169064,1655216286.4465914
149,-26.13347900027677,1655216289.4517143
150,-26.93827437003914,1655216292.4557855
151,-24.07040233516346,1655216295.4599135
152,-26.420787521448947,1655216298.4635344
153,-26.347774203073964,1655216301.4661567
154,-24.70626236430425,1655216304.4700303
155,-25.250244056971837,1655216307.4734976
156,-24.88504616728196,1655216310.477666
157,-24.535780623146433,1655216313.4814403
158,-33.45002746063576,1655216316.4845595
159,-26.16024815454084,1655216319.4882283
160,-25.597580327765137,1655216322.487994
161,-25.27664167859538,1655216325.493387
162,-25.117765078387734,1655216328.4955122
163,-25.18003446370205,1655216331.4980617
164,-25.7594391034238,1655216334.500343
165,-25.398802924661844,1655216337.5032632
166,-25.780874926333258,1655216340.5067787
167,-25.592798158729725,1655216343.507963
168,-25.465329148004727,1655216346.5111005
169,-25.687465595147593,1655216349.5139716
170,-25.468581123038554,1655216352.515003
171,-26.800512743230676,1655216355.5208526
172,-18.595485715371353,1655216358.5241754
173,-25.609963639906177,1655216361.5258777
174,-25.917538710028754,1655216364.5283651
175,-26.577497143088088,1655216367.5336192
176,-30.696871376710536,1655216370.537193
177,-25.381554300224824,1655216373.541009
178,-23.9524720387021,1655216376.545012
179,-25.272470277396643,1655216379.5489147
180,-30.001810531736226,1655216382.551971
181,-25.596254513964574,1655216385.5538
182,-24.068028962074578,1655216388.557212
183,-25.344346326152024,1655216391.563077
184,-26.176374443563205,1655216394.5654972
185,-25.51476764215147,1655216397.568534
186,-26.06754010256609,1655216400.5703757
187,-26.019637625154093,1655216403.5722945
188,-25.977273735654876,1655216406.5744698
189,-25.76426320173955,1655216409.5759897
190,-22.717020289292233,1655216412.5813231
191,-25.234032334589724,1655216415.5853305
192,-25.207282612396526,1655216418.5888863
193,-26.22952428940345,1655216421.5938826
194,-23.006188728645,1655216424.598067
195,-24.696353917749747,1655216427.6030352
196,-26.87154635183222,1655216430.6056433
197,-26.184837330532993,1655216433.609923
198,-24.6106598403671,1655216436.6133134
199,-27.6944053952732,1655216439.616189
200,-26.551147807512383,1655216442.6203833
201,-28.400924458191312,1655216445.623681
202,-26.48189238494746,1655216448.6231325
203,-25.85413595897183,1655216451.6287453
204,-29.691610566123536,1655216454.6318066
205,-27.842340688236444,1655216457.6364236
206,-27.519213778467265,1655216460.6399848
207,-26.018715750056653,1655216463.6451094
208,-26.308143018274805,1655216466.6483963
209,-24.170980825466664,1655216469.6519237
210,-22.427264061569826,1655216472.6527026
211,-25.249946575071913,1655216475.655465
212,-26.171682313072324,1655216478.6600463
213,-26.158978029156128,1655216481.6641443
214,-25.432223717791906,1655216484.6678846
215,-25.012356149219645,1655216487.6717296
216,-30.306783086005915,1655216490.675043
217,-25.155454307291517,1655216493.6787734
218,-26.498384017811183,1655216496.6818013
