# iterator, reward, timestamp 
104,-28.381115149114734,1647582780.5403252
105,-32.717345669802974,1647582783.543827
106,-33.65449184193636,1647582786.5476487
107,-30.002365295968726,1647582789.5511498
108,-27.795551739644825,1647582792.555671
109,-30.349960256375073,1647582795.559715
110,-35.907166969237885,1647582798.5638242
111,-29.70686209026247,1647582801.5678968
112,-37.70271348020788,1647582804.5715008
113,-28.165286679754015,1647582807.575009
114,-27.583268032530626,1647582810.5803535
115,-28.076313587857207,1647582813.5854073
116,-28.030393582977716,1647582816.5883543
117,-36.195889006659414,1647582819.592334
118,-34.213512626806654,1647582822.5986753
119,-28.405967851238877,1647582825.6030467
120,-28.391555896760327,1647582828.604818
121,-27.812281174053343,1647582831.608945
122,-28.428277273668858,1647582834.6133263
123,-28.82488128818246,1647582837.6159167
124,-29.4393662057022,1647582840.6206362
125,-28.23851939022892,1647582843.624132
126,-31.05545876060929,1647582846.6270645
127,-29.868470464254813,1647582849.6311827
128,-27.79694703714605,1647582852.6328568
129,-28.666455619247014,1647582855.6383529
130,-27.762367183485228,1647582858.6425114
131,-28.016646958614988,1647582861.6464412
132,-28.70428496351963,1647582864.6502476
133,-27.91508994215768,1647582867.6539388
134,-27.95144205276538,1647582870.656995
135,-28.110593797175643,1647582873.6615264
136,-28.69857668479712,1647582876.667239
137,-27.673383088565963,1647582879.6709285
138,-28.019160290497403,1647582882.6761246
139,-28.658110137622902,1647582885.6783853
140,-29.159616646702357,1647582888.6840072
141,-28.68731396251918,1647582891.68701
142,-28.14898468196855,1647582894.6914892
143,-29.90548068592026,1647582897.694857
144,-29.752050106266115,1647582900.6989698
145,-28.863215320551568,1647582903.7033463
146,-28.414299531524858,1647582906.7073019
147,-27.98063992293358,1647582909.7113855
148,-33.844587952231784,1647582912.7157059
149,-27.825918792352418,1647582915.7192042
150,-28.64685177183346,1647582918.7226853
151,-28.52525562604427,1647582921.7279692
152,-27.324979699895586,1647582924.7308145
153,-28.156046018889292,1647582927.7349105
154,-27.580210289009077,1647582930.7371316
155,-28.201434339625646,1647582933.7407956
156,-27.483489019466802,1647582936.7438369
157,-23.110929769153916,1647582939.748024
158,-28.878152264098397,1647582942.749544
159,-30.89567330140889,1647582945.7532747
160,-27.52871237066487,1647582948.7582338
161,-27.35853794682367,1647582951.7639399
162,-26.772541149579528,1647582954.7671428
163,-25.68980096679407,1647582957.771368
164,-27.543847933746317,1647582960.7737787
165,-26.920195662848307,1647582963.7762442
166,-26.864103959371953,1647582966.7791548
167,-26.936253581522962,1647582969.7839262
168,-29.40743688821815,1647582972.7887092
169,-28.268286307811998,1647582975.7950463
170,-27.110285619008973,1647582978.8003974
171,-27.135463710096356,1647582981.8034315
172,-27.399270367967095,1647582984.806635
173,-27.521022059536293,1647582987.8110654
174,-27.842328274031615,1647582990.8152165
175,-27.316034148355772,1647582993.8205638
176,-28.417088007476014,1647582996.8246903
177,-27.036356602157795,1647582999.8295975
178,-26.80649284203175,1647583002.8333302
179,-26.362109694769188,1647583005.837966
180,-27.421916740476238,1647583008.84306
181,-26.800523381154974,1647583011.8479373
182,-27.163654054016515,1647583014.8528035
183,-26.545219440314668,1647583017.8564448
184,-26.895744474129565,1647583020.8618493
185,-26.90112548238254,1647583023.8679864
186,-27.126887942873232,1647583026.873005
187,-26.584222380173404,1647583029.87773
