# iterator, reward_latency, reward_throughput, timestamp 
1,62.28494644165039,1126.394563520323,1656373402.766536
2,128.08537483215332,958.0838323353204,1656373410.2127805
3,57.63022104899088,1070.9290709290353,1656373413.6734324
4,95.79952557881673,957.1286141575407,1656373420.1349711
5,75.22463798522949,958.0838323353746,1656373424.5994189
6,95.05097071329753,958.0838323353204,1656373430.059481
7,95.26344140370686,958.7219168057612,1656373434.5205252
8,100.34704208374023,958.0838323353204,1656373440.9856482
9,94.36102708180745,957.1286141575229,1656373446.445909
10,95.39532661437988,957.1286141574866,1656373449.9229755
11,93.70291233062744,958.0838323353383,1656373453.366773
