# iterator, reward, timestamp 
1,-108.42596859951433,1647891718.7796001
2,-127.07889080047607,1647891721.7838266
3,-69.20625933385114,1647891725.24423
4,-83.97861671834305,1647891728.7050853
5,-104.78289368175285,1647891732.1674652
6,-103.17906819665592,1647891735.6287022
7,-67.83283839565313,1647891739.0891697
8,-101.70483589172363,1647891742.5479293
9,-125.97525119781494,1647891746.013417
10,-103.35578218783323,1647891749.4729793
11,-105.01823769641754,1647891752.4764528
12,-104.71482615773928,1647891755.9375358
13,-105.57275973360034,1647891760.3995218
14,-84.65740012793803,1647891763.859484
15,-45.671103327512654,1647891767.3190463
16,-85.63029328924438,1647891772.7832818
17,-84.53595603065709,1647891776.245461
18,-100.63552856445312,1647891779.7056038
19,-106.08612448419908,1647891784.168744
20,-125.05972385406494,1647891790.6320188
21,-84.42957828701174,1647891794.0953605
22,-105.07637474277627,1647891797.5549376
23,-102.43499279022217,1647891801.0159414
24,-104.03502818273358,1647891805.4781427
25,-83.1642590441458,1647891808.9389288
26,-70.85014297475718,1647891812.4024305
27,-126.10781192779541,1647891815.8635054
28,-99.56538677215576,1647891819.3290281
29,-82.81161437632356,1647891823.789245
30,-104.7727612827315,1647891828.2536535
31,-102.18358039855957,1647891831.716918
32,-26.397565131374048,1647891835.1755176
33,-105.0726680998563,1647891841.6383812
34,-68.61093812852774,1647891845.0988028
35,-105.32621259922766,1647891848.5626442
36,-84.93335066982839,1647891852.022268
37,-105.39605101141711,1647891858.4855037
38,-105.27508104508513,1647891862.4908154
39,-66.08895183132329,1647891865.9554505
40,-109.47109752437765,1647891872.4202878
41,-105.20514308679087,1647891876.8830035
42,-83.75702652284723,1647891880.3427656
43,-83.6406305299698,1647891883.3475926
44,-103.6550785842716,1647891887.8135493
45,-104.07514532393087,1647891892.2769043
46,-127.72488594055177,1647891896.739445
47,-105.75337661189565,1647891901.2007854
48,-106.7797263000197,1647891904.6621318
49,-83.1907949159556,1647891911.129103
50,-75.9571119706603,1647891915.1340046
51,-84.20287612305778,1647891918.594142
52,-101.65154933929443,1647891922.0540247
53,-83.43185999703027,1647891925.5121145
54,-127.08485126495361,1647891928.97356
55,-104.90001857825538,1647891932.4343574
56,-83.18915791360058,1647891936.8991811
57,-102.93556532190547,1647891940.3591313
58,-101.73285007476807,1647891943.821042
59,-27.872291737417022,1647891947.2810848
60,-27.397307183129765,1647891950.2845185
61,-26.77793631434435,1647891953.290121
62,-31.664845202265766,1647891956.2951
63,-27.32269092403536,1647891959.2991326
64,-26.35174358938829,1647891962.3027961
65,-24.568849421596596,1647891965.306492
66,-27.877359413448534,1647891968.3105159
67,-27.160887198907115,1647891971.3149571
68,-26.116864520580037,1647891974.3196754
69,-25.381748378538877,1647891977.322689
70,-26.586232017420365,1647891980.3258421
71,-29.280032566749416,1647891983.3325064
72,-26.63292953883569,1647891986.3363073
73,-25.704394037688147,1647891989.3398314
74,-25.71061466243072,1647891992.3441892
75,-26.47569568635363,1647891995.3477237
76,-27.64251582729265,1647891998.3520834
77,-26.080923722206915,1647892001.3556762
78,-25.845913936599075,1647892004.3591628
79,-35.59052668149212,1647892007.3624098
80,-26.243050231573896,1647892010.3659897
81,-25.91703974593714,1647892013.3706067
82,-32.84894285765368,1647892016.3746212
83,-26.29801322065346,1647892019.3787212
84,-27.712600035380884,1647892022.3822339
85,-25.25714884624526,1647892025.3860447
86,-27.1599301744196,1647892028.389162
87,-25.56286040590661,1647892031.3932853
88,-27.662261058458128,1647892034.3967586
89,-27.508041608427046,1647892037.4002378
90,-27.795518825239654,1647892040.4038925
91,-26.21868569802734,1647892043.4070795
92,-24.823766919145417,1647892046.4107296
93,-27.32228159989569,1647892049.4157887
94,-27.3964902952585,1647892052.419758
95,-30.942480726781564,1647892055.4232013
96,-26.883293346092206,1647892058.4268646
97,-26.04804647643443,1647892061.4304936
98,-26.61405448371049,1647892064.4343698
99,-26.52264925779232,1647892067.4385595
100,-26.69378259112312,1647892070.4413557
101,-28.079715577049093,1647892073.4448574
102,-26.549566057158426,1647892076.450948
103,-20.74209266203085,1647892079.4566286
104,-25.162712657174065,1647892082.460233
105,-26.80080031479858,1647892085.4636903
106,-25.994072163552314,1647892088.468423
107,-24.954289841126453,1647892091.4704776
108,-25.325192795197218,1647892094.475081
109,-24.642276912885528,1647892097.4790015
110,-25.791242449978746,1647892100.4827535
111,-27.767424811330958,1647892103.4860518
112,-27.978599922203067,1647892106.4906757
113,-28.019690704281164,1647892109.4934573
114,-26.053341543045075,1647892112.4978223
115,-27.359382830427997,1647892115.5028863
116,-26.83703286861243,1647892118.5070233
117,-25.626028631462166,1647892121.5114276
118,-24.555300871364484,1647892124.5154874
119,-26.30033789226277,1647892127.5198247
120,-26.056767337079418,1647892130.5247252
121,-25.741907624227142,1647892133.5286195
122,-27.871562463443126,1647892136.5328684
123,-25.11263987079108,1647892139.5373237
124,-24.774906139717956,1647892142.5416331
125,-26.182578962281173,1647892145.5464835
126,-26.437097395850316,1647892148.5506704
127,-26.818293654852297,1647892151.5552938
128,-25.59013045544445,1647892154.5601866
129,-25.949148265125945,1647892157.5632827
130,-25.73220284694942,1647892160.56839
131,-25.853393307326787,1647892163.5723622
132,-26.868431156272873,1647892166.575891
133,-26.43745219784438,1647892169.5802913
134,-32.16150470471183,1647892172.583531
135,-26.267643886690767,1647892175.5871165
136,-26.31051949301207,1647892178.5906956
137,-27.32749952524311,1647892181.5939574
138,-25.996649260508924,1647892184.5991135
139,-27.37809485488213,1647892187.6027122
140,-28.649378527177586,1647892190.606761
